# Ecosystem table for the "glemr11" remix
# Ecosystems create variety within biomes, placing ore distributions in which a unique selection of
#       decorations can be place
# This CSV is read by the "biome_glemr11" package

#Ore_Type|Biome|Ore name|Wherein|Threshold|Max height|Min height

# Hot biomes
dirt|glemr11_hot_humid_beach|unilib:sand_silt|unilib:sand_ordinary|0.8|BEACH_MAX|BEACH_MIN
fungi|glemr11_hot_humid_highland|unilib:dirt_black_with_litter_fungi|unilib:dirt_ordinary_with_turf_hot_humid_highland|0.4|HIGHLAND|SHELF
dirt|glemr11_hot_humid_highland|unilib:dirt_black_with_litter_rainforest|unilib:dirt_ordinary_with_turf_hot_humid_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_hot_humid_highland|unilib:dirt_brown_with_litter_rainforest|unilib:dirt_ordinary_with_turf_hot_humid_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_hot_semihumid_beach|unilib:sand_silt|unilib:sand_volcanic_dust|0.8|BEACH_MAX|BEACH_MIN
dirt|glemr11_hot_semihumid_coastal|unilib:dirt_clayey_with_turf_hot_semihumid_coastal|unilib:dirt_ordinary_with_turf_hot_semihumid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_semihumid_coastal|unilib:dirt_sandy_with_turf_hot_semihumid_coastal|unilib:dirt_ordinary_with_turf_hot_semihumid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_semihumid_coastal|unilib:dirt_silt_fine_with_turf_hot_semihumid_coastal|unilib:dirt_ordinary_with_turf_hot_semihumid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_semihumid_coastal|unilib:dirt_black_with_litter_rainforest|unilib:dirt_ordinary_with_turf_hot_semihumid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_semihumid_coastal|unilib:dirt_brown_with_litter_rainforest|unilib:dirt_ordinary_with_turf_hot_semihumid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_semihumid_lowland|unilib:dirt_clayey_with_turf_hot_semihumid_lowland|unilib:dirt_ordinary_with_turf_hot_semihumid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_semihumid_lowland|unilib:dirt_sandy_with_turf_hot_semihumid_lowland|unilib:dirt_ordinary_with_turf_hot_semihumid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_semihumid_lowland|unilib:dirt_silt_fine_with_turf_hot_semihumid_lowland|unilib:dirt_ordinary_with_turf_hot_semihumid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_semihumid_lowland|unilib:dirt_black_with_litter_rainforest|unilib:dirt_ordinary_with_turf_hot_semihumid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_semihumid_lowland|unilib:dirt_brown_with_litter_rainforest|unilib:dirt_ordinary_with_turf_hot_semihumid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_semihumid_shelf|unilib:dirt_clayey_with_turf_hot_semihumid_shelf|unilib:dirt_ordinary_with_turf_hot_semihumid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_hot_semihumid_shelf|unilib:dirt_sandy_with_turf_hot_semihumid_shelf|unilib:dirt_ordinary_with_turf_hot_semihumid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_hot_semihumid_shelf|unilib:dirt_silt_fine_with_turf_hot_semihumid_shelf|unilib:dirt_ordinary_with_turf_hot_semihumid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_hot_semihumid_shelf|unilib:dirt_black_with_litter_rainforest|unilib:dirt_ordinary_with_turf_hot_semihumid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_hot_semihumid_shelf|unilib:dirt_brown_with_litter_rainforest|unilib:dirt_ordinary_with_turf_hot_semihumid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_hot_semihumid_highland|unilib:dirt_clayey_with_turf_hot_semihumid_highland|unilib:dirt_ordinary_with_turf_hot_semihumid_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_hot_semihumid_highland|unilib:dirt_sandy_with_turf_hot_semihumid_highland|unilib:dirt_ordinary_with_turf_hot_semihumid_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_hot_semihumid_highland|unilib:dirt_silt_fine_with_turf_hot_semihumid_highland|unilib:dirt_ordinary_with_turf_hot_semihumid_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_hot_semihumid_highland|unilib:dirt_black_with_litter_rainforest|unilib:dirt_ordinary_with_turf_hot_semihumid_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_hot_semihumid_highland|unilib:dirt_brown_with_litter_rainforest|unilib:dirt_ordinary_with_turf_hot_semihumid_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_hot_temperate_coastal|unilib:dirt_black_with_turf_hot_temperate_coastal|unilib:dirt_ordinary_with_turf_hot_temperate_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_temperate_coastal|unilib:dirt_brown_with_turf_hot_temperate_coastal|unilib:dirt_ordinary_with_turf_hot_temperate_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_temperate_coastal|unilib:dirt_clayey_with_turf_hot_temperate_coastal|unilib:dirt_ordinary_with_turf_hot_temperate_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_temperate_coastal|unilib:dirt_sandy_with_turf_hot_temperate_coastal|unilib:dirt_ordinary_with_turf_hot_temperate_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_temperate_coastal|unilib:dirt_silt_fine_with_turf_hot_temperate_coastal|unilib:dirt_ordinary_with_turf_hot_temperate_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_temperate_lowland|unilib:dirt_black_with_turf_hot_temperate_lowland|unilib:dirt_ordinary_with_turf_hot_temperate_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_temperate_lowland|unilib:dirt_brown_with_turf_hot_temperate_lowland|unilib:dirt_ordinary_with_turf_hot_temperate_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_temperate_lowland|unilib:dirt_clayey_with_turf_hot_temperate_lowland|unilib:dirt_ordinary_with_turf_hot_temperate_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_temperate_lowland|unilib:dirt_sandy_with_turf_hot_temperate_lowland|unilib:dirt_ordinary_with_turf_hot_temperate_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_temperate_lowland|unilib:dirt_silt_fine_with_turf_hot_temperate_lowland|unilib:dirt_ordinary_with_turf_hot_temperate_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_temperate_shelf|unilib:dirt_black_with_turf_hot_temperate_shelf|unilib:dirt_ordinary_with_turf_hot_temperate_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_hot_temperate_shelf|unilib:dirt_brown_with_turf_hot_temperate_shelf|unilib:dirt_ordinary_with_turf_hot_temperate_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_hot_temperate_shelf|unilib:dirt_clayey_with_turf_hot_temperate_shelf|unilib:dirt_ordinary_with_turf_hot_temperate_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_hot_temperate_shelf|unilib:dirt_sandy_with_turf_hot_temperate_shelf|unilib:dirt_ordinary_with_turf_hot_temperate_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_hot_temperate_shelf|unilib:dirt_silt_fine_with_turf_hot_temperate_shelf|unilib:dirt_ordinary_with_turf_hot_temperate_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_hot_temperate_highland|unilib:dirt_black_with_turf_hot_temperate_highland|unilib:dirt_ordinary_with_turf_hot_temperate_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_hot_temperate_highland|unilib:dirt_brown_with_turf_hot_temperate_highland|unilib:dirt_ordinary_with_turf_hot_temperate_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_hot_temperate_highland|unilib:dirt_clayey_with_turf_hot_temperate_highland|unilib:dirt_ordinary_with_turf_hot_temperate_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_hot_temperate_highland|unilib:dirt_sandy_with_turf_hot_temperate_highland|unilib:dirt_ordinary_with_turf_hot_temperate_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_hot_temperate_highland|unilib:dirt_silt_fine_with_turf_hot_temperate_highland|unilib:dirt_ordinary_with_turf_hot_temperate_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_hot_semiarid_coastal|unilib:dirt_black_with_turf_hot_semiarid_coastal|unilib:dirt_ordinary_with_turf_hot_semiarid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_semiarid_coastal|unilib:dirt_brown_with_turf_hot_semiarid_coastal|unilib:dirt_ordinary_with_turf_hot_semiarid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_semiarid_coastal|unilib:dirt_clayey_with_turf_hot_semiarid_coastal|unilib:dirt_ordinary_with_turf_hot_semiarid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_semiarid_coastal|unilib:dirt_sandy_with_turf_hot_semiarid_coastal|unilib:dirt_ordinary_with_turf_hot_semiarid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_semiarid_coastal|unilib:dirt_silt_fine_with_turf_hot_semiarid_coastal|unilib:dirt_ordinary_with_turf_hot_semiarid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_semiarid_lowland|unilib:dirt_black_with_turf_hot_semiarid_lowland|unilib:dirt_ordinary_with_turf_hot_semiarid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_semiarid_lowland|unilib:dirt_brown_with_turf_hot_semiarid_lowland|unilib:dirt_ordinary_with_turf_hot_semiarid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_semiarid_lowland|unilib:dirt_clayey_with_turf_hot_semiarid_lowland|unilib:dirt_ordinary_with_turf_hot_semiarid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_semiarid_lowland|unilib:dirt_sandy_with_turf_hot_semiarid_lowland|unilib:dirt_ordinary_with_turf_hot_semiarid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_semiarid_lowland|unilib:dirt_silt_fine_with_turf_hot_semiarid_lowland|unilib:dirt_ordinary_with_turf_hot_semiarid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_semiarid_shelf|unilib:dirt_black_with_turf_hot_semiarid_shelf|unilib:dirt_ordinary_with_turf_hot_semiarid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_hot_semiarid_shelf|unilib:dirt_brown_with_turf_hot_semiarid_shelf|unilib:dirt_ordinary_with_turf_hot_semiarid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_hot_semiarid_shelf|unilib:dirt_clayey_with_turf_hot_semiarid_shelf|unilib:dirt_ordinary_with_turf_hot_semiarid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_hot_semiarid_shelf|unilib:dirt_sandy_with_turf_hot_semiarid_shelf|unilib:dirt_ordinary_with_turf_hot_semiarid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_hot_semiarid_shelf|unilib:dirt_silt_fine_with_turf_hot_semiarid_shelf|unilib:dirt_ordinary_with_turf_hot_semiarid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_hot_semiarid_highland|unilib:dirt_black_with_turf_hot_semiarid_highland|unilib:dirt_ordinary_with_turf_hot_semiarid_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_hot_semiarid_highland|unilib:dirt_brown_with_turf_hot_semiarid_highland|unilib:dirt_ordinary_with_turf_hot_semiarid_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_hot_semiarid_highland|unilib:dirt_clayey_with_turf_hot_semiarid_highland|unilib:dirt_ordinary_with_turf_hot_semiarid_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_hot_semiarid_highland|unilib:dirt_sandy_with_turf_hot_semiarid_highland|unilib:dirt_ordinary_with_turf_hot_semiarid_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_hot_semiarid_highland|unilib:dirt_silt_fine_with_turf_hot_semiarid_highland|unilib:dirt_ordinary_with_turf_hot_semiarid_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_hot_arid_coastal|unilib:sand_ordinary|unilib:gravel_sandstone_desert|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_arid_coastal|unilib:sand_desert|unilib:gravel_sandstone_desert|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_arid_coastal|unilib:sand_silica|unilib:gravel_sandstone_desert|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_arid_coastal|unilib:gravel_stone_desert|unilib:gravel_sandstone_desert|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_arid_coastal|unilib:stone_sandstone_white|unilib:gravel_sandstone_desert|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_arid_lowland|unilib:sand_ordinary|unilib:gravel_sandstone_desert|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_arid_lowland|unilib:sand_desert|unilib:gravel_sandstone_desert|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_arid_lowland|unilib:sand_silica|unilib:gravel_sandstone_desert|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_arid_lowland|unilib:stone_sandstone_white|unilib:gravel_sandstone_desert|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_arid_lowland|unilib:gravel_stone_desert|unilib:gravel_sandstone_desert|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_arid_shelf|unilib:sand_ordinary|unilib:gravel_sandstone_desert|0.8|SHELF|LOWLAND
dirt|glemr11_hot_arid_shelf|unilib:sand_desert|unilib:gravel_sandstone_desert|0.8|SHELF|LOWLAND
dirt|glemr11_hot_arid_shelf|unilib:sand_silica|unilib:gravel_sandstone_desert|0.8|SHELF|LOWLAND
dirt|glemr11_hot_arid_shelf|unilib:gravel_stone_desert|unilib:gravel_sandstone_desert|0.8|SHELF|LOWLAND
dirt|glemr11_hot_arid_shelf|unilib:stone_sandstone_white|unilib:gravel_sandstone_desert|0.8|SHELF|LOWLAND
dirt|glemr11_hot_arid_highland|unilib:sand_ordinary|unilib:gravel_sandstone_desert|0.8|HIGHLAND|SHELF
dirt|glemr11_hot_arid_highland|unilib:sand_desert|unilib:gravel_sandstone_desert|0.8|HIGHLAND|SHELF
dirt|glemr11_hot_arid_highland|unilib:sand_silica|unilib:gravel_sandstone_desert|0.8|HIGHLAND|SHELF
dirt|glemr11_hot_arid_highland|unilib:gravel_stone_desert|unilib:gravel_sandstone_desert|0.8|HIGHLAND|SHELF
dirt|glemr11_hot_arid_highland|unilib:stone_sandstone_white|unilib:gravel_sandstone_desert|0.8|HIGHLAND|SHELF

# Warm biomes
dirt|glemr11_warm_humid_beach|unilib:sand_silt|unilib:sand_silica|0.8|BEACH_MAX|BEACH_MIN
dirt|glemr11_warm_humid_coastal|unilib:dirt_black_with_turf_warm_humid_coastal|unilib:dirt_ordinary_with_turf_warm_humid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_warm_humid_coastal|unilib:dirt_brown_with_turf_warm_humid_coastal|unilib:dirt_ordinary_with_turf_warm_humid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_warm_humid_coastal|unilib:dirt_clayey_with_turf_warm_humid_coastal|unilib:dirt_ordinary_with_turf_warm_humid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_warm_humid_coastal|unilib:dirt_sandy_with_turf_warm_humid_coastal|unilib:dirt_ordinary_with_turf_warm_humid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_warm_humid_coastal|unilib:dirt_silt_fine_with_turf_warm_humid_coastal|unilib:dirt_ordinary_with_turf_warm_humid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_warm_humid_lowland|unilib:dirt_black_with_turf_warm_humid_lowland|unilib:dirt_ordinary_with_turf_warm_humid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_warm_humid_lowland|unilib:dirt_brown_with_turf_warm_humid_lowland|unilib:dirt_ordinary_with_turf_warm_humid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_warm_humid_lowland|unilib:dirt_clayey_with_turf_warm_humid_lowland|unilib:dirt_ordinary_with_turf_warm_humid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_warm_humid_lowland|unilib:dirt_sandy_with_turf_warm_humid_lowland|unilib:dirt_ordinary_with_turf_warm_humid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_warm_humid_lowland|unilib:dirt_silt_fine_with_turf_warm_humid_lowland|unilib:dirt_ordinary_with_turf_warm_humid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_warm_humid_shelf|unilib:dirt_black_with_turf_warm_humid_shelf|unilib:dirt_ordinary_with_turf_warm_humid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_warm_humid_shelf|unilib:dirt_brown_with_turf_warm_humid_shelf|unilib:dirt_ordinary_with_turf_warm_humid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_warm_humid_shelf|unilib:dirt_clayey_with_turf_warm_humid_shelf|unilib:dirt_ordinary_with_turf_warm_humid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_warm_humid_shelf|unilib:dirt_sandy_with_turf_warm_humid_shelf|unilib:dirt_ordinary_with_turf_warm_humid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_warm_humid_shelf|unilib:dirt_silt_fine_with_turf_warm_humid_shelf|unilib:dirt_ordinary_with_turf_warm_humid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_warm_humid_highland|unilib:dirt_black_with_turf_warm_humid_highland|unilib:dirt_ordinary_with_turf_warm_humid_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_warm_humid_highland|unilib:dirt_brown_with_turf_warm_humid_highland|unilib:dirt_ordinary_with_turf_warm_humid_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_warm_humid_highland|unilib:dirt_clayey_with_turf_warm_humid_highland|unilib:dirt_ordinary_with_turf_warm_humid_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_warm_humid_highland|unilib:dirt_sandy_with_turf_warm_humid_highland|unilib:dirt_ordinary_with_turf_warm_humid_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_warm_humid_highland|unilib:dirt_silt_fine_with_turf_warm_humid_highland|unilib:dirt_ordinary_with_turf_warm_humid_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_warm_semihumid_coastal|unilib:dirt_black_with_turf_warm_semihumid_coastal|unilib:dirt_ordinary_with_turf_warm_semihumid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_warm_semihumid_coastal|unilib:dirt_brown_with_turf_warm_semihumid_coastal|unilib:dirt_ordinary_with_turf_warm_semihumid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_warm_semihumid_coastal|unilib:dirt_clayey_with_turf_warm_semihumid_coastal|unilib:dirt_ordinary_with_turf_warm_semihumid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_warm_semihumid_coastal|unilib:dirt_sandy_with_turf_warm_semihumid_coastal|unilib:dirt_ordinary_with_turf_warm_semihumid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_warm_semihumid_coastal|unilib:dirt_silt_fine_with_turf_warm_semihumid_coastal|unilib:dirt_ordinary_with_turf_warm_semihumid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_warm_semihumid_lowland|unilib:dirt_black_with_turf_warm_semihumid_lowland|unilib:dirt_ordinary_with_turf_warm_semihumid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_warm_semihumid_lowland|unilib:dirt_brown_with_turf_warm_semihumid_lowland|unilib:dirt_ordinary_with_turf_warm_semihumid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_warm_semihumid_lowland|unilib:dirt_clayey_with_turf_warm_semihumid_lowland|unilib:dirt_ordinary_with_turf_warm_semihumid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_warm_semihumid_lowland|unilib:dirt_sandy_with_turf_warm_semihumid_lowland|unilib:dirt_ordinary_with_turf_warm_semihumid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_warm_semihumid_lowland|unilib:dirt_silt_fine_with_turf_warm_semihumid_lowland|unilib:dirt_ordinary_with_turf_warm_semihumid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_warm_semihumid_shelf|unilib:dirt_black_with_turf_warm_semihumid_shelf|unilib:dirt_ordinary_with_turf_warm_semihumid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_warm_semihumid_shelf|unilib:dirt_brown_with_turf_warm_semihumid_shelf|unilib:dirt_ordinary_with_turf_warm_semihumid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_warm_semihumid_shelf|unilib:dirt_clayey_with_turf_warm_semihumid_shelf|unilib:dirt_ordinary_with_turf_warm_semihumid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_warm_semihumid_shelf|unilib:dirt_sandy_with_turf_warm_semihumid_shelf|unilib:dirt_ordinary_with_turf_warm_semihumid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_warm_semihumid_shelf|unilib:dirt_silt_fine_with_turf_warm_semihumid_shelf|unilib:dirt_ordinary_with_turf_warm_semihumid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_warm_semihumid_highland|unilib:dirt_black_with_turf_warm_semihumid_highland|unilib:dirt_ordinary_with_turf_warm_semihumid_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_warm_semihumid_highland|unilib:dirt_brown_with_turf_warm_semihumid_highland|unilib:dirt_ordinary_with_turf_warm_semihumid_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_warm_semihumid_highland|unilib:dirt_clayey_with_turf_warm_semihumid_highland|unilib:dirt_ordinary_with_turf_warm_semihumid_highland|0.8|HIGHLAND|SHELF
