# Decoration table for the "glemr11" remix

# Deco type|Deco name|Max height|Min height|Biomes|Place on|Spawn by|Num spawn by|Fill ratio|Height max|Flags|Side length

simple|unilib:grass_frozen_3|LOWLAND|COASTAL|glemr11_cold_semiarid_lowland|unilib:dirt_permafrost_dark|||0.0075|||
simple|unilib:grass_frozen_4|LOWLAND|COASTAL|glemr11_cold_semiarid_lowland|unilib:dirt_permafrost_dark|||0.0075|||
simple|unilib:grass_frozen_5|LOWLAND|COASTAL|glemr11_cold_semiarid_lowland|unilib:dirt_permafrost_dark|||0.0075|||
simple|unilib:plant_weed_stone|SHELF|LOWLAND|glemr11_cold_semiarid_shelf|unilib:dirt_permafrost_dark|||0.005|||
simple|unilib:plant_saxifrage_purple|SHELF|LOWLAND|glemr11_cold_semiarid_shelf|unilib:dirt_permafrost_dark|||0.005|||
simple|unilib:plant_nettle_carduus|SHELF|LOWLAND|glemr11_cold_semiarid_shelf|unilib:dirt_permafrost_dark|||0.005|||
simple|unilib:grass_frozen_1|SHELF|LOWLAND|glemr11_cold_semiarid_shelf|unilib:dirt_permafrost_dark|||0.01|||
simple|unilib:grass_frozen_2|SHELF|LOWLAND|glemr11_cold_semiarid_shelf|unilib:dirt_permafrost_dark|||0.01|||
simple|unilib:grass_frozen_3|SHELF|LOWLAND|glemr11_cold_semiarid_shelf|unilib:dirt_permafrost_dark|||0.01|||
simple|unilib:grass_frozen_4|SHELF|LOWLAND|glemr11_cold_semiarid_shelf|unilib:dirt_permafrost_dark|||0.01|||
simple|unilib:grass_frozen_5|SHELF|LOWLAND|glemr11_cold_semiarid_shelf|unilib:dirt_permafrost_dark|||0.01|||
simple|unilib:grass_frozen_1|BEACH_MAX|1|glemr11_cold_semihumid_beach|unilib:dirt_silt_fine_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_2|BEACH_MAX|1|glemr11_cold_semihumid_beach|unilib:dirt_silt_fine_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_3|BEACH_MAX|1|glemr11_cold_semihumid_beach|unilib:dirt_silt_fine_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_4|BEACH_MAX|1|glemr11_cold_semihumid_beach|unilib:dirt_silt_fine_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_5|BEACH_MAX|1|glemr11_cold_semihumid_beach|unilib:dirt_silt_fine_with_cover_snow|||0.01|||
simple|unilib:plant_shrub_snowy|BEACH_MAX|1|glemr11_cold_semihumid_beach|unilib:dirt_silt_fine_with_cover_snow|||0.01|||
simple|unilib:stone_brownstone_dark|BEACH_MAX|1|glemr11_cold_semihumid_beach|unilib:dirt_silt_fine_with_cover_snow|||0.01|||
schematic|unilib_glem_tree_spruce_1|COASTAL|BEACH_MAX|glemr11_cold_semihumid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_fir_1|COASTAL|BEACH_MAX|glemr11_cold_semihumid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_fir_douglas_coast_14|COASTAL|BEACH_MAX|glemr11_cold_semihumid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:plant_shrub_snowy|COASTAL|BEACH_MAX|glemr11_cold_semihumid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.001|||
simple|unilib:plant_shrub_taiga|COASTAL|BEACH_MAX|glemr11_cold_semihumid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.001|||
simple|unilib:stone_brownstone_dark|COASTAL|BEACH_MAX|glemr11_cold_semihumid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.001|||
simple|unilib:grass_frozen_1|COASTAL|BEACH_MAX|glemr11_cold_semihumid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_2|COASTAL|BEACH_MAX|glemr11_cold_semihumid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_3|COASTAL|BEACH_MAX|glemr11_cold_semihumid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_4|COASTAL|BEACH_MAX|glemr11_cold_semihumid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_5|COASTAL|BEACH_MAX|glemr11_cold_semihumid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:plant_nettle_carduus|COASTAL|BEACH_MAX|glemr11_cold_semihumid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.01|||
schematic|unilib_glem_tree_spruce_1|HIGHLAND|SHELF|glemr11_cold_semihumid_highland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_fir_1|HIGHLAND|SHELF|glemr11_cold_semihumid_highland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_fir_douglas_coast_14|HIGHLAND|SHELF|glemr11_cold_semihumid_highland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:plant_shrub_snowy|HIGHLAND|SHELF|glemr11_cold_semihumid_highland|unilib:dirt_ordinary_with_cover_snow|||0.001|||
simple|unilib:grass_frozen_1|HIGHLAND|SHELF|glemr11_cold_semihumid_highland|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_2|HIGHLAND|SHELF|glemr11_cold_semihumid_highland|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_3|HIGHLAND|SHELF|glemr11_cold_semihumid_highland|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_4|HIGHLAND|SHELF|glemr11_cold_semihumid_highland|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_5|HIGHLAND|SHELF|glemr11_cold_semihumid_highland|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:plant_nettle_carduus|HIGHLAND|SHELF|glemr11_cold_semihumid_highland|unilib:dirt_ordinary_with_cover_snow|||0.01|||
schematic|unilib_glem_tree_spruce_1|LOWLAND|COASTAL|glemr11_cold_semihumid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_fir_1|LOWLAND|COASTAL|glemr11_cold_semihumid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_fir_douglas_coast_14|LOWLAND|COASTAL|glemr11_cold_semihumid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:plant_shrub_snowy|LOWLAND|COASTAL|glemr11_cold_semihumid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.001|||
simple|unilib:plant_shrub_taiga|LOWLAND|COASTAL|glemr11_cold_semihumid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.001|||
simple|unilib:grass_frozen_1|LOWLAND|COASTAL|glemr11_cold_semihumid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_2|LOWLAND|COASTAL|glemr11_cold_semihumid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_3|LOWLAND|COASTAL|glemr11_cold_semihumid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_4|LOWLAND|COASTAL|glemr11_cold_semihumid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_5|LOWLAND|COASTAL|glemr11_cold_semihumid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:plant_nettle_carduus|LOWLAND|COASTAL|glemr11_cold_semihumid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.01|||
schematic|unilib_glem_tree_spruce_1|SHELF|LOWLAND|glemr11_cold_semihumid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_fir_1|SHELF|LOWLAND|glemr11_cold_semihumid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_fir_douglas_coast_14|SHELF|LOWLAND|glemr11_cold_semihumid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:plant_shrub_snowy|SHELF|LOWLAND|glemr11_cold_semihumid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.001|||
simple|unilib:grass_frozen_1|SHELF|LOWLAND|glemr11_cold_semihumid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_2|SHELF|LOWLAND|glemr11_cold_semihumid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_3|SHELF|LOWLAND|glemr11_cold_semihumid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_4|SHELF|LOWLAND|glemr11_cold_semihumid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_5|SHELF|LOWLAND|glemr11_cold_semihumid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:plant_nettle_carduus|SHELF|LOWLAND|glemr11_cold_semihumid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_1|BEACH_MAX|1|glemr11_cold_temperate_beach|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:grass_frozen_2|BEACH_MAX|1|glemr11_cold_temperate_beach|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:grass_frozen_3|BEACH_MAX|1|glemr11_cold_temperate_beach|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:grass_frozen_4|BEACH_MAX|1|glemr11_cold_temperate_beach|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:grass_frozen_5|BEACH_MAX|1|glemr11_cold_temperate_beach|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:plant_nettle_carduus|BEACH_MAX|1|glemr11_cold_temperate_beach|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:stone_basalt_dark|BEACH_MAX|1|glemr11_cold_temperate_beach|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:stone_gneiss_brown|BEACH_MAX|1|glemr11_cold_temperate_beach|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_spruce_1|COASTAL|BEACH_MAX|glemr11_cold_temperate_coastal|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_fir_1|COASTAL|BEACH_MAX|glemr11_cold_temperate_coastal|unilib:dirt_ordinary_with_cover_snow|||0.005|||
