# Biome table for the "glemr11" remix

# Biome name|Description|Original biome name|Dust node|Top node and depth|Fill node and depth|Stone node|Top water node and depth|Water node|River node|Riverbed node and depth|Cave liquid node|Dungeon node|Dungeon alternative node|Dungeon stair node|Max height|Min height|Vertical blend|Heat|Humidity

# Hot biomes
glemr11_hot_arid_coastal|Hot arid coastal biome|hot_arid_coastal||unilib:gravel_sandstone_desert 5|unilib:stone_brownstone_dark 10|unilib:stone_basalt_dark|||unilib:gravel_stone_desert||||||COASTAL|BEACH_MAX||HOT|ARID
glemr11_hot_arid_lowland|Hot arid lowland biome|hot_arid_lowland||unilib:gravel_sandstone_desert 10|unilib:stone_sandstone_brown 15|unilib:stone_brownstone_dark|||unilib:gravel_stone_desert||||||LOWLAND|COASTAL||HOT|ARID
glemr11_hot_arid_shelf|Hot arid shelf biome|hot_arid_shelf||unilib:gravel_sandstone_desert 10|unilib:stone_desert 20|unilib:stone_sandstone_brown|||unilib:gravel_stone_desert||||||SHELF|LOWLAND||HOT|ARID
glemr11_hot_arid_highland|Hot arid highland biome|hot_arid_highland||unilib:gravel_sandstone_desert 15|unilib:stone_sandstone_desert 25|unilib:stone_desert|||unilib:gravel_stone_desert||||||HIGHLAND|SHELF||HOT|ARID
glemr11_hot_arid_mountain|Hot arid mountain biome|hot_arid_mountain||unilib:sand_white 10|unilib:stone_brownstone_dark 20|unilib:stone_desert|||||||||MOUNTAIN|HIGHLAND||HOT|ARID
glemr11_hot_arid_strato|Hot arid stratospheric biome|hot_arid_strato||unilib:stone_sandstone_ordinary 15|unilib:stone_sandstone_desert 25|unilib:stone_sandstone_brown|||||||||STRATO|MOUNTAIN||HOT|ARID

# Warm biomes
glemr11_warm_humid_ocean|Warm humid ocean biome|warm_humid_ocean||unilib:sand_ordinary 4|unilib:sand_ordinary 6|unilib:stone_basalt_dark|||||||||BEACH_MIN|OCEAN||WARM|HUMID
glemr11_warm_humid_beach|Warm humid beach biome|warm_humid_beach||unilib:sand_silica 1|unilib:sand_volcanic_dust 4|unilib:stone_basalt_dark|||||||||BEACH_MAX|BEACH_MIN||WARM|HUMID
glemr11_warm_humid_coastal|Warm humid coastal biome|warm_humid_coastal||unilib:dirt_ordinary_with_turf_warm_humid_coastal 1|unilib:dirt_silt_coarse 6|unilib:stone_basalt_dark|||||||||COASTAL|BEACH_MAX||WARM|HUMID
glemr11_warm_humid_lowland|Warm humid lowland biome|warm_humid_lowland||unilib:dirt_ordinary_with_turf_warm_humid_lowland 1|unilib:dirt_silt_fine 5|unilib:stone_basalt_dark|||||||||LOWLAND|COASTAL||WARM|HUMID
glemr11_warm_humid_shelf|Warm humid shelf biome|warm_humid_shelf||unilib:dirt_ordinary_with_turf_warm_humid_shelf 1|unilib:dirt_dark 4|unilib:stone_basalt_dark|||||||||SHELF|LOWLAND||WARM|HUMID
glemr11_warm_humid_highland|Warm humid highland biome|warm_humid_highland||unilib:dirt_ordinary_with_turf_warm_humid_highland 1|unilib:dirt_ordinary 3|unilib:stone_basalt_dark|||||||||HIGHLAND|SHELF||WARM|HUMID
glemr11_warm_humid_mountain|Warm humid mountain biome|warm_humid_mountain||unilib:stone_sandstone_brown 10|unilib:stone_brownstone_dark 20|unilib:stone_basalt_dark|||||||||MOUNTAIN|HIGHLAND||WARM|HUMID
glemr11_warm_humid_strato|Warm humid stratospheric biome|warm_humid_strato||unilib:stone_sandstone_desert 15|unilib:stone_sandstone_brown 25|unilib:stone_brownstone_dark|||||||||STRATO|MOUNTAIN||WARM|HUMID
glemr11_warm_semihumid_ocean|Warm semi-humid ocean biome|warm_semihumid_ocean||unilib:sand_ordinary 2|unilib:sand_ordinary 4|unilib:stone_brownstone_dark|||||||||BEACH_MIN|OCEAN||WARM|SEMIHUMID
glemr11_warm_semihumid_beach|Warm semi-humid beach biome|warm_semihumid_beach||unilib:sand_silica 1|unilib:sand_silica 4|unilib:stone_brownstone_dark|||||||||BEACH_MAX|BEACH_MIN||WARM|SEMIHUMID
glemr11_warm_semihumid_coastal|Warm semi-humid coastal biome|warm_semihumid_coastal||unilib:dirt_ordinary_with_turf_warm_semihumid_coastal 1|unilib:dirt_silt_fine 6|unilib:stone_brownstone_dark|||||||||COASTAL|BEACH_MAX||WARM|SEMIHUMID
glemr11_warm_semihumid_lowland|Warm semi-humid lowland biome|warm_semihumid_lowland||unilib:dirt_ordinary_with_turf_warm_semihumid_lowland 1|unilib:dirt_ordinary 5|unilib:stone_brownstone_dark|||||||||LOWLAND|COASTAL||WARM|SEMIHUMID
glemr11_warm_semihumid_shelf|Warm semi-humid shelf biome|warm_semihumid_shelf||unilib:dirt_ordinary_with_turf_warm_semihumid_shelf 1|unilib:dirt_coarse 4|unilib:stone_brownstone_dark|||||||||SHELF|LOWLAND||WARM|SEMIHUMID
glemr11_warm_semihumid_highland|Warm semi-humid highland biome|warm_semihumid_highland||unilib:dirt_ordinary_with_turf_warm_semihumid_highland 1|unilib:dirt_parched 3|unilib:stone_brownstone_dark|||||||||HIGHLAND|SHELF||WARM|SEMIHUMID
glemr11_warm_semihumid_mountain|Warm semi-humid mountain biome|warm_semihumid_mountain||unilib:stone_granite_pink 10|unilib:stone_andesite_grey 20|unilib:stone_basalt_dark|||||||||MOUNTAIN|HIGHLAND||WARM|SEMIHUMID
glemr11_warm_semihumid_strato|Warm semi-humid stratospheric biome|warm_semihumid_strato||unilib:stone_sandstone_desert 15|unilib:stone_granite_pink 25|unilib:stone_andesite_grey|||||||||STRATO|MOUNTAIN||WARM|SEMIHUMID
glemr11_warm_temperate_ocean|Warm temperate ocean biome|warm_temperate_ocean||unilib:sand_ordinary 2|unilib:sand_ordinary 4|unilib:stone_sandstone_ordinary|||||||||BEACH_MIN|OCEAN||WARM|TEMPERATE
glemr11_warm_temperate_beach|Warm temperate beach biome|warm_temperate_beach||unilib:sand_ordinary 1|unilib:sand_ordinary 4||||||||||BEACH_MAX|BEACH_MIN||WARM|TEMPERATE
glemr11_warm_temperate_coastal|Warm temperate coastal biome|warm_temperate_coastal||unilib:dirt_ordinary_with_turf_warm_temperate_coastal 1|unilib:dirt_dark 6|unilib:stone_limestone_white|||||||||COASTAL|BEACH_MAX||WARM|TEMPERATE
glemr11_warm_temperate_lowland|Warm temperate lowland biome|warm_temperate_lowland||unilib:dirt_ordinary_with_turf_warm_temperate_lowland 1|unilib:dirt_ordinary 5|unilib:stone_limestone_white|||||||||LOWLAND|COASTAL||WARM|TEMPERATE
glemr11_warm_temperate_shelf|Warm temperate shelf biome|warm_temperate_shelf||unilib:dirt_ordinary_with_turf_warm_temperate_shelf 1|unilib:dirt_coarse 4|unilib:stone_limestone_white|||||||||SHELF|LOWLAND||WARM|TEMPERATE
glemr11_warm_temperate_highland|Warm temperate highland biome|warm_temperate_highland||unilib:dirt_ordinary_with_turf_warm_temperate_highland 1|unilib:clay_red 3|unilib:stone_limestone_white|||||||||HIGHLAND|SHELF||WARM|TEMPERATE
glemr11_warm_temperate_mountain|Warm temperate mountain biome|warm_temperate_mountain||unilib:stone_sandstone_desert 10|unilib:stone_sandstone_brown 20|unilib:stone_brownstone_dark|||||||||MOUNTAIN|HIGHLAND||WARM|TEMPERATE
glemr11_warm_temperate_strato|Warm temperate stratospheric biome|warm_temperate_strato||unilib:stone_sandstone_ordinary 15|unilib:stone_sandstone_desert 25|unilib:stone_sandstone_brown|||||||||STRATO|MOUNTAIN||WARM|TEMPERATE
glemr11_warm_semiarid_ocean|Warm semi-arid ocean biome|warm_semiarid_ocean||unilib:sand_ordinary 2|unilib:sand_ordinary 4|unilib:stone_sandstone_ordinary|||||||||BEACH_MIN|OCEAN||WARM|SEMIARID
glemr11_warm_semiarid_beach|Warm semi-arid beach biome|warm_semiarid_beach||unilib:sand_ordinary 1|unilib:sand_ordinary 4||||||||||BEACH_MAX|BEACH_MIN||WARM|SEMIARID
glemr11_warm_semiarid_coastal|Warm semi-arid coastal biome|warm_semiarid_coastal||unilib:dirt_ordinary_with_turf_warm_semiarid_coastal 1|unilib:dirt_ordinary 4|unilib:stone_desert|||||||||COASTAL|BEACH_MAX||WARM|SEMIARID
glemr11_warm_semiarid_lowland|Warm semi-arid lowland biome|warm_semiarid_lowland||unilib:dirt_ordinary_with_turf_warm_semiarid_lowland 1|unilib:dirt_coarse 4|unilib:stone_desert|||||||||LOWLAND|COASTAL||WARM|SEMIARID
glemr11_warm_semiarid_shelf|Warm semi-arid shelf biome|warm_semiarid_shelf||unilib:dirt_ordinary_with_turf_warm_semiarid_shelf 1|unilib:clay_red 4|unilib:stone_desert|||||||||SHELF|LOWLAND||WARM|SEMIARID
glemr11_warm_semiarid_highland|Warm semi-arid highland biome|warm_semiarid_highland||unilib:dirt_ordinary_with_turf_warm_semiarid_highland 1|unilib:dirt_clayey 4|unilib:stone_desert|||||||||HIGHLAND|SHELF||WARM|SEMIARID
glemr11_warm_semiarid_mountain|Warm semi-arid mountain biome|warm_semiarid_mountain||unilib:stone_sandstone_desert 10|unilib:stone_sandstone_brown 20|unilib:stone_brownstone_dark|||||||||MOUNTAIN|HIGHLAND||WARM|SEMIARID
glemr11_warm_semiarid_strato|Warm semi-arid stratospheric biome|warm_semiarid_strato||unilib:stone_sandstone_ordinary 15|unilib:stone_sandstone_desert 25|unilib:stone_sandstone_brown|||||||||STRATO|MOUNTAIN||WARM|SEMIARID
glemr11_warm_arid_ocean|Warm arid ocean biome|warm_arid_ocean||unilib:sand_ordinary 2|unilib:sand_ordinary 4|unilib:stone_sandstone_ordinary|||||||||BEACH_MIN|OCEAN||WARM|ARID
glemr11_warm_arid_beach|Warm arid beach biome|warm_arid_beach||unilib:gravel_sandstone_desert 1|unilib:sand_ordinary 4||||||||||BEACH_MAX|BEACH_MIN||WARM|ARID
glemr11_warm_arid_coastal|Warm arid coastal biome|warm_arid_coastal||unilib:gravel_sandstone_desert 10|unilib:stone_sandstone_brown cold|unilib:stone_basalt_dark|||unilib:stone_sandstone_white||||||COASTAL|BEACH_MAX||WARM|ARID
glemr11_warm_arid_lowland|Warm arid lowland biome|warm_arid_lowland||unilib:gravel_sandstone_desert 10|unilib:stone_sandstone_brown cold|unilib:stone_basalt_dark|||unilib:stone_sandstone_white||||||LOWLAND|COASTAL||WARM|ARID
glemr11_warm_arid_shelf|Warm arid shelf biome|warm_arid_shelf||unilib:gravel_sandstone_desert 10|unilib:stone_sandstone_brown cold|unilib:stone_basalt_dark|||unilib:stone_sandstone_white||||||SHELF|LOWLAND||WARM|ARID
glemr11_warm_arid_highland|Warm arid highland biome|warm_arid_highland||unilib:gravel_sandstone_desert 10|unilib:stone_sandstone_brown cold|unilib:stone_sandstone_desert|||unilib:stone_sandstone_white||||||HIGHLAND|SHELF||WARM|ARID
glemr11_warm_arid_mountain|Warm arid mountain biome|warm_arid_mountain||unilib:stone_sandstone_desert 10|unilib:stone_sandstone_brown 20|unilib:stone_brownstone_dark|||unilib:stone_sandstone_white||||||MOUNTAIN|HIGHLAND||WARM|ARID
glemr11_warm_arid_strato|Warm arid stratospheric biome|warm_arid_strato||unilib:stone_sandstone_ordinary 15|unilib:stone_sandstone_desert 25|unilib:stone_sandstone_brown|||unilib:stone_sandstone_white||||||STRATO|MOUNTAIN||WARM|ARID

# Temperate biomes
glemr11_temperate_humid_ocean|Temperate humid ocean biome|temperate_humid_ocean||unilib:sand_ordinary 4|unilib:sand_ordinary 6|unilib:stone_sandstone_ordinary|||||||||BEACH_MIN|OCEAN||TEMPERATE|HUMID
glemr11_temperate_humid_beach|Temperate humid beach biome|temperate_humid_beach||unilib:sand_ordinary 2|unilib:sand_ordinary 4|unilib:stone_sandstone_ordinary|||||||||BEACH_MAX|BEACH_MIN||TEMPERATE|HUMID
glemr11_temperate_humid_coastal|Temperate humid coastal biome|temperate_humid_coastal||unilib:dirt_ordinary_with_turf_temperate_humid_coastal 1|unilib:dirt_silt_coarse 6|unilib:stone_brownstone_dark|||||||||COASTAL|BEACH_MAX||TEMPERATE|HUMID
glemr11_temperate_humid_lowland|Temperate humid lowland biome|temperate_humid_lowland||unilib:dirt_ordinary_with_turf_temperate_humid_lowland 1|unilib:dirt_silt_fine 5|unilib:stone_brownstone_dark|||||||||LOWLAND|COASTAL||TEMPERATE|HUMID
glemr11_temperate_humid_shelf|Temperate humid shelf biome|temperate_humid_shelf||unilib:dirt_ordinary_with_turf_temperate_humid_shelf 1|unilib:dirt_dark 4|unilib:stone_brownstone_dark|||||||||SHELF|LOWLAND||TEMPERATE|HUMID
glemr11_temperate_humid_highland|Temperate humid highland biome|temperate_humid_highland||unilib:dirt_ordinary_with_turf_temperate_humid_highland 1|unilib:dirt_ordinary 3|unilib:stone_brownstone_dark|||||||||HIGHLAND|SHELF||TEMPERATE|HUMID
glemr11_temperate_humid_mountain|Temperate humid mountain biome|temperate_humid_mountain|unilib:snow_ordinary|unilib:stone_gabbro_red 10|unilib:stone_bluestone 20|unilib:stone_basalt_dark|||||||||MOUNTAIN|HIGHLAND||TEMPERATE|HUMID
glemr11_temperate_humid_strato|Temperate humid stratospheric biome|temperate_humid_strato|unilib:ice_ordinary|unilib:stone_diorite_dark 15|unilib:stone_bluestone 25|unilib:stone_brownstone_dark|||||||||STRATO|MOUNTAIN||TEMPERATE|HUMID
glemr11_temperate_semihumid_ocean|Temperate semi-humid ocean biome|temperate_semihumid_ocean||unilib:sand_ordinary 2|unilib:sand_ordinary 4|unilib:stone_sandstone_ordinary|||||||||BEACH_MIN|OCEAN||TEMPERATE|SEMIHUMID
glemr11_temperate_semihumid_beach|Temperate semi-humid beach biome|temperate_semihumid_beach||unilib:sand_ordinary 1|unilib:sand_ordinary 4||||||||||BEACH_MAX|BEACH_MIN||TEMPERATE|SEMIHUMID
glemr11_temperate_semihumid_coastal|Temperate semi-humid coastal biome|temperate_semihumid_coastal||unilib:dirt_ordinary_with_turf_temperate_semihumid_coastal 1|unilib:dirt_silt_fine 4|unilib:stone_bluestone|||||||||COASTAL|BEACH_MAX||TEMPERATE|SEMIHUMID
glemr11_temperate_semihumid_lowland|Temperate semi-humid lowland biome|temperate_semihumid_lowland||unilib:dirt_ordinary_with_turf_temperate_semihumid_lowland 1|unilib:dirt_dark 4|unilib:stone_bluestone|||||||||LOWLAND|COASTAL||TEMPERATE|SEMIHUMID
glemr11_temperate_semihumid_shelf|Temperate semi-humid shelf biome|temperate_semihumid_shelf||unilib:dirt_ordinary_with_turf_temperate_semihumid_shelf 1|unilib:dirt_ordinary 4|unilib:stone_bluestone|||||||||SHELF|LOWLAND||TEMPERATE|SEMIHUMID
glemr11_temperate_semihumid_highland|Temperate semi-humid highland biome|temperate_semihumid_highland||unilib:dirt_ordinary_with_turf_temperate_semihumid_highland 1|unilib:clay_red 4|unilib:stone_bluestone|||||||||HIGHLAND|SHELF||TEMPERATE|SEMIHUMID
glemr11_temperate_semihumid_mountain|Temperate semi-humid mountain biome|temperate_semihumid_mountain|unilib:snow_ordinary|unilib:stone_bluestone 10|unilib:stone_brownstone_dark 20|unilib:stone_basalt_dark|||||||||MOUNTAIN|HIGHLAND||TEMPERATE|SEMIHUMID
glemr11_temperate_semihumid_strato|Temperate semi-humid stratospheric biome|temperate_semihumid_strato|unilib:snow_ordinary|unilib:stone_bluestone 15|unilib:stone_gabbro_red 25|unilib:stone_brownstone_dark|||||||||STRATO|MOUNTAIN||TEMPERATE|SEMIHUMID
glemr11_temperate_temperate_ocean|Temperate ocean biome|temperate_temperate_ocean||unilib:sand_ordinary 2|unilib:sand_ordinary 4|unilib:stone_sandstone_ordinary|||||||||BEACH_MIN|OCEAN||TEMPERATE|TEMPERATE
glemr11_temperate_temperate_beach|Temperate beach biome|temperate_temperate_beach||unilib:sand_ordinary 1|unilib:sand_ordinary 4||||||||||BEACH_MAX|BEACH_MIN||TEMPERATE|TEMPERATE
glemr11_temperate_temperate_coastal|Temperate coastal biome|temperate_temperate_coastal||unilib:dirt_ordinary_with_turf_temperate_temperate_coastal 1|unilib:dirt_dark 4|unilib:stone_limestone_white|||||||||COASTAL|BEACH_MAX||TEMPERATE|TEMPERATE
glemr11_temperate_temperate_lowland|Temperate lowland biome|temperate_temperate_lowland||unilib:dirt_ordinary_with_turf_temperate_temperate_lowland 1|unilib:dirt_ordinary 4|unilib:stone_limestone_white|||||||||LOWLAND|COASTAL||TEMPERATE|TEMPERATE
glemr11_temperate_temperate_shelf|Temperate shelf biome|temperate_temperate_shelf||unilib:dirt_ordinary_with_turf_temperate_temperate_shelf 1|unilib:dirt_coarse 4|unilib:stone_limestone_white|||||||||SHELF|LOWLAND||TEMPERATE|TEMPERATE
glemr11_temperate_temperate_highland|Temperate highland biome|temperate_temperate_highland||unilib:dirt_ordinary_with_turf_temperate_temperate_highland 1|unilib:clay_red 4|unilib:stone_limestone_white|||||||||HIGHLAND|SHELF||TEMPERATE|TEMPERATE
glemr11_temperate_temperate_mountain|Temperate mountain biome|temperate_temperate_mountain||unilib:stone_greenstone 10|unilib:stone_schist_grey 20|unilib:stone_basalt_dark|||||||||MOUNTAIN|HIGHLAND||TEMPERATE|TEMPERATE
glemr11_temperate_temperate_strato|Temperate stratospheric biome|temperate_temperate_strato||unilib:stone_basalt_brown 15|unilib:stone_greenstone 25|unilib:stone_schist_grey|||||||||STRATO|MOUNTAIN||TEMPERATE|TEMPERATE
glemr11_temperate_semiarid_ocean|Temperate semi-arid ocean biome|temperate_semiarid_ocean||unilib:sand_ordinary 2|unilib:sand_ordinary 4|unilib:stone_sandstone_ordinary|||||||||BEACH_MIN|OCEAN||TEMPERATE|SEMIARID
glemr11_temperate_semiarid_beach|Temperate semi-arid beach biome|temperate_semiarid_beach||unilib:sand_ordinary 1|unilib:sand_ordinary 4||||||||||BEACH_MAX|BEACH_MIN||TEMPERATE|SEMIARID
glemr11_temperate_semiarid_coastal|Temperate semi-arid coastal biome|temperate_semiarid_coastal||unilib:dirt_ordinary_with_turf_temperate_semiarid_coastal 1|unilib:dirt_ordinary 4||||||||||COASTAL|BEACH_MAX||TEMPERATE|SEMIARID
glemr11_temperate_semiarid_lowland|Temperate semi-arid lowland biome|temperate_semiarid_lowland||unilib:dirt_ordinary_with_turf_temperate_semiarid_lowland 1|unilib:dirt_coarse 4||||||||||LOWLAND|COASTAL||TEMPERATE|SEMIARID
glemr11_temperate_semiarid_shelf|Temperate semi-arid shelf biome|temperate_semiarid_shelf||unilib:dirt_ordinary_with_turf_temperate_semiarid_shelf 1|unilib:clay_red 4||||||||||SHELF|LOWLAND||TEMPERATE|SEMIARID
glemr11_temperate_semiarid_highland|Temperate semi-arid highland biome|temperate_semiarid_highland||unilib:dirt_ordinary_with_turf_temperate_semiarid_highland 1|unilib:dirt_clayey 4||||||||||HIGHLAND|SHELF||TEMPERATE|SEMIARID
glemr11_temperate_semiarid_mountain|Temperate semi-arid mountain biome|temperate_semiarid_mountain||unilib:stone_sandstone_brown 10|unilib:stone_brownstone_dark 20|unilib:stone_basalt_dark|||||||||MOUNTAIN|HIGHLAND||TEMPERATE|SEMIARID
glemr11_temperate_semiarid_strato|Temperate semi-arid stratospheric biome|temperate_semiarid_strato||unilib:stone_desert 15|unilib:stone_sandstone_brown 25|unilib:stone_brownstone_dark|||||||||STRATO|MOUNTAIN||TEMPERATE|SEMIARID
