# "hades" remix - contains all the packages required by the "mapgen_hades" package
# That package is a simplistic implementation of PFAA Geologica's geology system, partly based on
#   the underground challenge (underch) mod, but with a completely new set of stones and ores, which
#   are placed in a semi-realistic way, making no effort to reproduce strata, pipes or other
#   real-world geological formations (as PFAA tried to do). As in underch, each underground biome
#   (pseudo-biome) has a characteristic basic stone, each with a characteristic set of ores
# The "mapgen_hades" package includes a number of optional settings. Most of them are disabled by
#   default. If you edit the package code to enable them, you should also uncomment all of the
#   packages in the corresponding sections below
# Note that, if you do this, you'll see some duplicate package warnings. The folder that contains
#   this file, also contains the file "packages_ALL_DEPENDENCIES.csv", which assumes that all the
#   optional settings have been enabled. In that file, only duplicate packages are commented out
# If you have enabled all of the optional settings, you should rename this file (to anything), and
#   then rename that file to "packages.csv"

# node_name | original_mod

# default packages
stone_ordinary|default moreblocks technic
stone_siltstone_pale|ugbc
stone_skarn|pfaa
stone_slate_black|pfaa
stone_slate_grey|darkage
stone_soapstone|ugbc
stone_travertine|decoblocks
stone_tuff|darkage
stone_tuff_rhyolitic|darkage

# non-optional mineral packages
mineral_alunite|pfaa
mineral_alunite_rock|pfaa
mineral_anthracite|real_minerals
mineral_anthracite_rock|aato
mineral_apatite|unilib
mineral_apatite_rock|unilib
mineral_barite|unilib
mineral_barite_rock|unilib
mineral_bastnasite|unilib
mineral_bastnasite_rock|aato
mineral_bauxite|real_minerals
mineral_bauxite_rock|aato
mineral_bismuth_native|aato
mineral_bismuth_native_rock|aato
mineral_borax|pfaa real_minerals
mineral_borax_rock|pfaa
mineral_cassiterite|real_minerals
mineral_cassiterite_rock|aato
mineral_celestine|unilib
mineral_celestine_rock|aato
mineral_chalcopyrite|unilib
mineral_chalcopyrite_rock|aato
mineral_chromite|unilib
mineral_chromite_rock|aato
mineral_chrysotile|unilib
mineral_chrysotile_rock|unilib
mineral_cinnabar|real_minerals
mineral_cinnabar_rock|aato
mineral_coal_bituminous|real_minerals
mineral_coal_bituminous_rock|aato
mineral_coke_natural|unilib
mineral_coke_natural_rock|unilib
mineral_copper_native|real_minerals
mineral_copper_native_rock|aato
mineral_cuprite|aato
mineral_cuprite_rock|aato
mineral_diamond|default mtg_plus
mineral_dolomite|pfaa
mineral_dolomite_rock|pfaa
mineral_fluorite|unilib
mineral_fluorite_rock|unilib
mineral_galena|real_minerals
mineral_galena_rock|aato
mineral_garnierite|real_minerals
mineral_garnierite_rock|unilib
mineral_gold_native|real_minerals
mineral_gold_native_rock|unilib
mineral_gypsum|pfaa real_minerals
mineral_gypsum_rock|pfaa
mineral_haematite|real_minerals
mineral_haematite_rock|aato
mineral_halite|pfaa
mineral_halite_rock|pfaa
mineral_ilmenite|unilib
mineral_ilmenite_rock|aato
mineral_kimberlite|real_minerals
mineral_kimberlite_rock|aato
mineral_kyanite|unilib
mineral_kyanite_rock|unilib
mineral_lapis_lazuli|pfaa
mineral_lepidolite|unilib
mineral_lepidolite_rock|unilib
mineral_lignite|real_minerals
mineral_lignite_rock|aato
mineral_limonite_brown|unilib
mineral_limonite_rock|aato
mineral_limonite_yellow|unilib
mineral_magnesite|unilib
mineral_magnesite_rock|aato
mineral_magnetite|real_minerals
mineral_magnetite_rock|aato
mineral_magnetite_vanadium|unilib
mineral_magnetite_vanadium_rock|unilib
mineral_malachite|real_minerals
mineral_malachite_rock|aato
mineral_mese|default glemr11
mineral_mica|unilib
mineral_mica_rock|unilib
mineral_mirabilite|pfaa
mineral_mirabilite_rock|pfaa
mineral_molybdenite|unilib
mineral_molybdenite_rock|aato
mineral_pentlandite|unilib
mineral_pentlandite_rock|aato
mineral_perlite|pfaa
mineral_perlite_rock|pfaa
mineral_platinum_native|real_minerals
mineral_platinum_native_rock|unilib
mineral_pollucite|unilib
mineral_pollucite_rock|unilib
mineral_pumice|pfaa
mineral_pumice_rock|pfaa
mineral_pyrite|unilib
mineral_pyrite_rock|aato
mineral_pyrolusite|unilib
mineral_pyrolusite_rock|aato
mineral_quartz_brown|unilib
mineral_quartz_brown_rock|unilib
mineral_realgar|unilib
mineral_realgar_rock|aato
mineral_salt|caverealms
mineral_scheelite|unilib
mineral_scheelite_rock|aato
mineral_serpentinite|real_minerals
mineral_serpentinite_rock|unilib
mineral_silver_native|real_minerals
mineral_silver_native_rock|aato
mineral_sphalerite|real_minerals
mineral_sphalerite_rock|aato
mineral_spodumene|unilib
mineral_spodumene_rock|unilib
mineral_steatite|unilib
mineral_steatite_rock|unilib
mineral_stibnite|unilib
mineral_stibnite_rock|aato
mineral_tantalite|unilib
mineral_tantalite_rock|aato
mineral_tin_native|aato
mineral_tin_native_rock|aato
mineral_trona|pfaa
mineral_trona_rock|pfaa
mineral_uraninite|aato
mineral_uraninite_rock|aato
mineral_wolframite|unilib
mineral_wolframite_rock|unilib
mineral_wollastonite|pfaa
mineral_wollastonite_rock|pfaa
mineral_zeolite|pfaa
mineral_zeolite_rock|pfaa

# metal packages required by non-optional mineral packages
metal_aluminium|real_minerals
metal_antimony|unilib
metal_arsenic|unilib
metal_barium|unilib
metal_bismuth|real_minerals
metal_caesium|unilib
metal_calcium|unilib
metal_copper|default glemr11 moreblocks technic
metal_iron_pig|real_minerals
metal_iron_wrought|technic_worldgen
metal_lead|glemr11 technic_worldgen technic
metal_lithium|unilib
metal_magnesium|unilib
metal_manganese|unilib
metal_mercury|glemr11 unilib
metal_molybdenum|unilib
metal_nickel|real_minerals
metal_platinum|unilib
metal_rhenium|unilib
metal_silver|glemr11 moreores technic
metal_sodium|unilib
metal_strontium|unilib
metal_tantalum|unilib
metal_tin|default glemr11 technic
metal_titanium|unilib
metal_tungsten|unilib
metal_zinc|glemr11 technic_worldgen technic

# non-optional clay/dirt/gravel/sand/stone packages
clay_attapulgite|pfaa
clay_bentonite_calcium|pfaa
clay_bentonite_sodium|pfaa
clay_kaolinite|pfaa
clay_ordinary|default
clay_vermiculite|pfaa
dirt_peat_with_oil_crude|pfaa
dirt_peat_with_shale|pfaa
gravel_ordinary|default mtg_plus
sand_volcanic_ash|pfaa
sand_cassiterite|pfaa
sand_diatomite|pfaa
sand_garnet|pfaa
sand_glauconite|pfaa
sand_mineral_basaltic|pfaa
sand_mineral_granitic|pfaa
sand_ordinary|default
sand_ordinary_with_oil_crude|pfaa
sand_quartz|pfaa
sand_sulphur|pfaa
stone_sandstone_ordinary|default moreblocks mtg_plus

# ugbc stones which have sandstone, clay, gravel and sand equivalents
# To add these packages, uncomment them, and then in the "mapgen_hades" package, set the flag
#   "ugbc_extra_ore_flag" to true
#clay_andesite_white|ugbc
#clay_basalt_pale|ugbc
#clay_chalk_pink|ugbc
#clay_chert|ugbc
#clay_dacite|ugbc
#clay_dolostone_dark|ugbc
#clay_eclogite|ugbc
#clay_gabbro_grey|ugbc
#clay_gneiss_grey|ugbc
#clay_granite_ebony|ugbc
#clay_granite_orange|ugbc
#clay_greywacke_pale|ugbc
#clay_komatiite|ugbc
#clay_lignite|ugbc
#clay_limestone_beige|ugbc
#clay_marble_cream|ugbc
#clay_migmatite|ugbc
#clay_quartzite_red|ugbc
#clay_rhyolite_dark|ugbc
#clay_schist_blue|ugbc
#clay_schist_green_pale|ugbc
#clay_shale_white|ugbc
#clay_siltstone_pale|ugbc
#clay_soapstone|ugbc
#gravel_andesite_white|ugbc
#gravel_basalt_pale|ugbc
#gravel_chalk_pink|ugbc
#gravel_chert|ugbc
#gravel_dacite|ugbc
#gravel_dolostone_dark|ugbc
#gravel_eclogite|ugbc
#gravel_gabbro_grey|ugbc
#gravel_gneiss_grey|ugbc
#gravel_granite_ebony|ugbc
#gravel_granite_orange|ugbc
#gravel_greywacke_pale|ugbc
#gravel_komatiite|ugbc
#gravel_lignite|ugbc
#gravel_limestone_beige|ugbc
#gravel_marble_cream|ugbc
#gravel_migmatite|ugbc
#gravel_quartzite_red|ugbc
#gravel_rhyolite_dark|ugbc
#gravel_schist_blue|ugbc
#gravel_schist_green_pale|ugbc
#gravel_shale_white|ugbc
#gravel_siltstone_pale|ugbc
#gravel_soapstone|ugbc
#sand_andesite_white|ugbc
#sand_basalt_pale|ugbc
#sand_chalk_pink|ugbc
#sand_chert|ugbc
#sand_dacite|ugbc
#sand_dolostone_dark|ugbc
#sand_eclogite|ugbc
#sand_gabbro_grey|ugbc
#sand_gneiss_grey|ugbc
#sand_granite_ebony|ugbc
#sand_granite_orange|ugbc
#sand_greywacke_pale|ugbc
#sand_komatiite|ugbc
#sand_lignite|ugbc
#sand_limestone_beige|ugbc
#sand_marble_cream|ugbc
#sand_migmatite|ugbc
#sand_quartzite_red|ugbc
#sand_rhyolite_dark|ugbc
#sand_schist_blue|ugbc
#sand_schist_green_pale|ugbc
#sand_shale_white|ugbc
#sand_siltstone_pale|ugbc
#sand_soapstone|ugbc
#stone_sandstone_andesite_white|ugbc
#stone_sandstone_basalt_pale|ugbc
#stone_sandstone_chalk_pink|ugbc
#stone_sandstone_chert|ugbc
#stone_sandstone_dacite|ugbc
#stone_sandstone_dolostone_dark|ugbc
#stone_sandstone_eclogite|ugbc
#stone_sandstone_gabbro_grey|ugbc
#stone_sandstone_gneiss_grey|ugbc
#stone_sandstone_granite_ebony|ugbc
#stone_sandstone_granite_orange|ugbc
#stone_sandstone_greywacke_pale|ugbc
#stone_sandstone_komatiite|ugbc
#stone_sandstone_lignite|ugbc
#stone_sandstone_limestone_beige|ugbc
#stone_sandstone_marble_cream|ugbc
#stone_sandstone_migmatite|ugbc
#stone_sandstone_quartzite_red|ugbc
#stone_sandstone_rhyolite_dark|ugbc
#stone_sandstone_schist_blue|ugbc
#stone_sandstone_schist_green_pale|ugbc
#stone_sandstone_shale_white|ugbc
#stone_sandstone_siltstone_pale|ugbc
#stone_sandstone_soapstone|ugbc

# optional minerals, not listed above, which provide all remaining metals that can be obtained from
#       a mineral
# To add these packages, uncomment them, and then in the "mapgen_hades" package, set the flag
#   "add_more_metals_flag" to true
#mineral_borax|pfaa real_minerals
#mineral_borax_rock|pfaa
#mineral_carnotite|aato
#mineral_carnotite_rock|aato
#mineral_chromite|pfaa
#mineral_chromite_rock|aato
#mineral_cobaltite|aato
#mineral_cobaltite_rock|aato
#mineral_columbite|aato
#mineral_columbite_rock|aato
#mineral_germanite|aato
#mineral_germanite_rock|aato
#mineral_greenockite|aato
#mineral_greenockite_rock|aato
#mineral_monazite|aato
#mineral_monazite_rock|aato
#mineral_samarskite|aato
#mineral_samarskite_rock|aato
#mineral_sylvite|real_minerals
#mineral_sylvite_rock|aato
#mineral_thorite|aato
#mineral_thorite_rock|aato
#mineral_thortveitite|aato
#mineral_thortveitite_rock|aato
#mineral_torbernite|aato
#mineral_torbernite_rock|aato
#mineral_vanadinite|aato
#mineral_vanadinite_rock|aato
#mineral_zircon|aato
#mineral_zircon_rock|aato
# ...and the metals they provide
#metal_boron|unilib
#metal_cadmium|unilib
#metal_cerium|unilib
#metal_chromium|glemr11 technic_worldgen technic
#metal_cobalt|unilib
#metal_germanium|unilib
#metal_nihonium|unilib
#metal_potassium|unilib
#metal_scandium|unilib
#metal_thorium|unilib
#metal_uranium|technic_worldgen technic
#metal_vanadium|unilib
#metal_yttrium|unilib
#metal_zirconium|unilib

# optional nodes from AATO
# To add these packages, uncomment them, and then in the "mapgen_hades" package, set the flag
#   "add_aato_flag" to true
#mineral_acanthite|aato
#mineral_acanthite_rock|aato
#mineral_agate|aato
#mineral_agate_rock|unilib
#mineral_alabandite|aato
#mineral_alabandite_rock|aato
#mineral_almandine|aato
#mineral_almandine_rock|unilib
#mineral_amazonite|aato
#mineral_amazonite_rock|unilib
#mineral_amethyst_dark|aato
#mineral_amethyst_dark_rock|unilib
#mineral_anatase|aato
#mineral_anatase_rock|aato
#mineral_andradite|aato
#mineral_andradite_rock|unilib
#mineral_anglesite|aato
#mineral_anglesite_rock|aato
#mineral_anhydrite|aato
#mineral_anhydrite_rock|aato
#mineral_argutite|aato
#mineral_argutite_rock|aato
#mineral_arsenopyrite|aato
#mineral_arsenopyrite_rock|aato
#mineral_azurite|aato
#mineral_azurite_rock|aato
#mineral_bismite|aato
#mineral_bismite_rock|aato
#mineral_bornite|aato
#mineral_bornite_rock|aato
#mineral_boulangerite|aato
#mineral_boulangerite_rock|aato
#mineral_brookite|aato
#mineral_brookite_rock|aato
#mineral_brucite|aato
#mineral_brucite_rock|aato
#mineral_calcite|aato
#mineral_calcite_rock|aato
#mineral_carnallite|aato
#mineral_carnallite_rock|aato
#mineral_carnelian|aato
#mineral_carnelian_rock|unilib
#mineral_carnotite|aato
#mineral_carnotite_rock|aato
#mineral_carrollite|aato
#mineral_carrollite_rock|aato
#mineral_cerussite|aato
#mineral_cerussite_rock|aato
#mineral_chalcocite|aato
#mineral_chalcocite_rock|aato
#mineral_chrysocolla|aato
#mineral_chrysocolla_rock|unilib
#mineral_chrysoprase|aato
#mineral_chrysoprase_rock|unilib
#mineral_clausthalite|aato
#mineral_clausthalite_rock|aato
#mineral_cobaltite|aato
#mineral_cobaltite_rock|aato
#mineral_columbite|aato
#mineral_columbite_rock|aato
#mineral_covellite|aato
#mineral_covellite_rock|aato
#mineral_descloizite|aato
#mineral_descloizite_rock|aato
#mineral_enargite|aato
#mineral_enargite_rock|aato
#mineral_ferberite|aato
#mineral_ferberite_rock|aato
#mineral_franklinite|aato
#mineral_franklinite_rock|aato
#mineral_freibergite|aato
#mineral_freibergite_rock|aato
#mineral_germanite|aato
#mineral_germanite_rock|aato
#mineral_gersdorffite|aato
#mineral_gersdorffite_rock|aato
#mineral_greenockite|aato
#mineral_greenockite_rock|aato
#mineral_hausmannite|aato
#mineral_hausmannite_rock|aato
#mineral_hauyne|aato
#mineral_hauyne_rock|unilib
#mineral_heliotrope|aato
#mineral_heliotrope_rock|unilib
#mineral_hemimorphite|aato
#mineral_hemimorphite_rock|aato
#mineral_hollandite|aato
#mineral_hollandite_rock|aato
#mineral_hubnerite|aato
#mineral_hubnerite_rock|aato
#mineral_hydrozincite|aato
#mineral_hydrozincite_rock|aato
#mineral_iron_telluric|aato
#mineral_iron_telluric_rock|aato
#mineral_jade|aato
#mineral_jade_rock|unilib
#mineral_jet_dark|aato
#mineral_jet_dark_rock|unilib
#mineral_kainite|aato
#mineral_kainite_rock|aato
#mineral_kesterite|aato
#mineral_kesterite_rock|aato
#mineral_kieserite|aato
#mineral_kieserite_rock|aato
#mineral_lamproite|aato
#mineral_lamproite_rock|aato
#mineral_langbeinite|aato
#mineral_langbeinite_rock|aato
#mineral_leucite|aato
#mineral_leucite_rock|aato
#mineral_loellingite|aato
#mineral_loellingite_rock|aato
#mineral_manganite|aato
#mineral_manganite_rock|aato
#mineral_millerite|aato
#mineral_millerite_rock|aato
#mineral_monazite|aato
#mineral_monazite_rock|aato
#mineral_moonstone|aato
#mineral_moonstone_rock|unilib
#mineral_nepheline|aato
#mineral_nepheline_rock|aato
#mineral_nepouite|aato
#mineral_nepouite_rock|aato
#mineral_nickeline|aato
#mineral_nickeline_rock|aato
#mineral_nitratine|aato
#mineral_nitratine_rock|aato
#mineral_onyx|aato
#mineral_onyx_rock|unilib
#mineral_opal|aato
#mineral_opal_rock|unilib
#mineral_orpiment|aato
#mineral_orpiment_rock|aato
#mineral_otavite|aato
#mineral_otavite_rock|aato
#mineral_peridot|aato
#mineral_peridot_rock|unilib
#mineral_petalite|aato
#mineral_petalite_rock|aato
#mineral_phosphorite|aato
#mineral_phosphorite_rock|aato
#mineral_polyhalite|aato
#mineral_polyhalite_rock|aato
#mineral_polylithionite|aato
#mineral_polylithionite_rock|aato
#mineral_proustite|aato
#mineral_proustite_rock|aato
#mineral_pyromorphite|aato
#mineral_pyromorphite_rock|aato
#mineral_pyrope|aato
#mineral_pyrope_rock|unilib
#mineral_rhodochrosite|aato
#mineral_rhodochrosite_rock|aato
#mineral_rhodonite|aato
#mineral_rhodonite_rock|aato
#mineral_ruby_dark|aato
#mineral_ruby_dark_rock|unilib
#mineral_rutile|aato
#mineral_rutile_rock|aato
#mineral_samarskite|aato
#mineral_samarskite_rock|aato
#mineral_sapphire_dark|aato
#mineral_sapphire_dark_rock|unilib
#mineral_siderite|aato
#mineral_siderite_rock|aato
#mineral_skutterudite|aato
#mineral_skutterudite_rock|aato
#mineral_smithsonite|aato
#mineral_smithsonite_rock|aato
#mineral_spessartine|aato
#mineral_spessartine_rock|unilib
#mineral_spinel|aato
#mineral_spinel_rock|unilib
#mineral_stannite|aato
#mineral_stannite_rock|aato
#mineral_stephanite|aato
#mineral_stephanite_rock|aato
#mineral_strontianite|aato
#mineral_strontianite_rock|aato
#mineral_sugilite|aato
#mineral_sugilite_rock|unilib
#mineral_tanzanite|aato
#mineral_tanzanite_rock|unilib
#mineral_teallite|aato
#mineral_teallite_rock|aato
#mineral_tennantite|aato
#mineral_tennantite_rock|aato
#mineral_thorite|aato
#mineral_thorite_rock|aato
#mineral_thortveitite|aato
#mineral_thortveitite_rock|aato
#mineral_titanite|aato
#mineral_titanite_rock|aato
#mineral_topaz|aato
#mineral_topaz_rock|unilib
#mineral_torbernite|aato
#mineral_torbernite_rock|aato
#mineral_tourmaline|aato
#mineral_tourmaline_rock|unilib
#mineral_tsavorite|aato
#mineral_tsavorite_rock|unilib
#mineral_turquoise|aato
#mineral_turquoise_rock|unilib
#mineral_unakite|aato
#mineral_unakite_rock|unilib
#mineral_vanadinite|aato
#mineral_vanadinite_rock|aato
#mineral_wulfenite|aato
#mineral_wulfenite_rock|aato
#mineral_zincite|aato
#mineral_zincite_rock|aato
#mineral_zircon|aato
#mineral_zircon_rock|aato

# optional nodes/ores from real_minerals
# To add these packages, uncomment them, and then in the "mapgen_hades" package, set the flag
#   "add_real_minerals_flag" to true
#dirt_peat|real_minerals
#metal_albata|real_minerals
#metal_brass_rare|real_minerals
#metal_bronze_bismuth|real_minerals
#metal_bronze_black|real_minerals
#metal_bronze_rare|real_minerals
#metal_copper_rare|real_minerals
#metal_gold_rare|real_minerals
#metal_gold_rose|real_minerals
#metal_iron_wrought_rare|real_minerals
#metal_lead_rare|real_minerals
#metal_monel|real_minerals
#metal_oroide|real_minerals
#metal_platinum_rare|real_minerals
#metal_silver_german|real_minerals
#metal_silver_rare|real_minerals
#metal_silver_sterling|real_minerals
#metal_steel_black|real_minerals
#metal_steel_rare|real_minerals
#metal_tin_rare|real_minerals
#metal_tumbaga|real_minerals
#metal_zinc_rare|real_minerals
#mineral_bismuthinite|real_minerals
#mineral_bismuthinite_rock|aato
#mineral_charcoal_natural|real_minerals
#mineral_charcoal_natural_rock|unilib
#mineral_cryolite|real_minerals
#mineral_cryolite_rock|unilib
#mineral_flux|real_minerals
#mineral_flux_rock|unilib
#mineral_graphite|pfaa real_minerals
#mineral_graphite_rock|pfaa
#mineral_jet|real_minerals
#mineral_jet_rock|unilib
#mineral_kaolinite|real_minerals
#mineral_kaolinite_rock|unilib
#mineral_lazurite|real_minerals
#mineral_lazurite_rock|unilib
#mineral_limonite|real_minerals
#mineral_olivine|real_minerals
#mineral_olivine_rock|unilib
#mineral_pitchblende|real_minerals
#mineral_pitchblende_rock|unilib
#mineral_saltpetre|real_minerals
#mineral_saltpetre_rock|unilib
#mineral_satinspar|real_minerals
#mineral_satinspar_rock|unilib
#mineral_selenite|real_minerals
#mineral_selenite_rock|unilib
#mineral_sulphur_rare|real_minerals
#mineral_sulphur_rare_rock|aato
#mineral_sylvite|real_minerals
#mineral_sylvite_rock|aato
#mineral_tenorite|real_minerals
#mineral_tenorite_rock|unilib
#mineral_tetrahedrite|real_minerals
#mineral_tetrahedrite_rock|aato
#mineral_wood_petrified|real_minerals
# If the "add_real_minerals_extra_flag" is also enabled, these packages must be uncommented
#ore_default_stone_ordinary_with_copper|default
#ore_default_stone_ordinary_with_gold|default
#ore_default_stone_ordinary_with_tin|default
#ore_moreores_stone_ordinary_with_silver|moreores
#stone_ordinary_with_copper|default
#stone_ordinary_with_gold|default
#stone_ordinary_with_tin|default
#stone_ordinary_with_silver|moreores

# optional nodes/ores from default/underch
# To add these packages, uncomment them, and then in the "mapgen_hades" package, set the flag
#   "blob_default_flag" to true
clay_brown|underch
dirt_ordinary|default farming moreblocks
gravel_mossy|underch
#gravel_ordinary|default mtg_plus
sand_silver|default
#stone_ordinary|default moreblocks technic

# optional nodes/ores from default
# To add these packages, uncomment them, and then in the "mapgen_hades" package, set the flag
#   "scatter_default_flag" to true
#metal_copper|default glemr11 moreblocks technic
metal_gold|default glemr11 technic
metal_iron|default
metal_steel|default glemr11 technic
#metal_tin|default glemr11 technic
mineral_coal|default technic
#mineral_diamond|default mtg_plus
#mineral_mese|default glemr11
stone_ordinary_with_coal|default
stone_ordinary_with_copper|default
stone_ordinary_with_diamond|default
stone_ordinary_with_gold|default
stone_ordinary_with_iron|default
stone_ordinary_with_mese|default
stone_ordinary_with_tin|default
# (...but don't uncomment these)
#ore_default_stone_ordinary_with_coal|default
#ore_default_stone_ordinary_with_copper|default
#ore_default_stone_ordinary_with_diamond|default
#ore_default_stone_ordinary_with_gold|default
#ore_default_stone_ordinary_with_iron|default
#ore_default_stone_ordinary_with_mese|default
#ore_default_stone_ordinary_with_tin|default

# optional nodes/ores from moreores
# To add these packages, uncomment them, and then in the "mapgen_hades" package, set the flag
#   "scatter_moreores_flag" to true
metal_mithril|glemr11 moreores technic
#metal_silver|glemr11 moreores technic
stone_ordinary_with_mithril|moreores
stone_ordinary_with_silver|moreores
# (...but don't uncomment these)
#ore_moreores_stone_ordinary_with_mithril|moreores
#ore_moreores_stone_ordinary_with_silver|moreores

# optional nodes/ores from technic
# To add these packages, uncomment them, and then in the "mapgen_hades" package, set the flag
#   "scatter_technic_flag" to true
metal_chromium|glemr11 technic_worldgen technic
#metal_lead|glemr11 technic_worldgen technic
metal_uranium|technic_worldgen technic
#metal_zinc|glemr11 technic_worldgen technic
stone_ordinary_with_chromium|technic_worldgen
stone_ordinary_with_lead|technic_worldgen
stone_ordinary_with_uranium|technic_worldgen
stone_ordinary_with_zinc|technic_worldgen
# (...but don't uncomment these)
#ore_technic_stone_ordinary_with_chromium|technic_worldgen
#ore_technic_stone_ordinary_with_lead|technic_worldgen
#ore_technic_stone_ordinary_with_uranium|technic_worldgen
#ore_technic_stone_ordinary_with_zinc|technic_worldgen

# optional nodes/ores from xtraores
# To add these packages, uncomment them, and then in the "mapgen_hades" package, set the flag
#   "scatter_xtraores_flag" to true
metal_adamantite|xtraores
metal_geminitium|xtraores
metal_ozymandium|xtraores
metal_planexium|xtraores
metal_rarium|xtraores
metal_sybilline|xtraores
metal_tritonium|xtraores
metal_unobtainium|xtraores
stone_ordinary_with_adamantite|xtraores
stone_ordinary_with_geminitium|xtraores
stone_ordinary_with_ozymandium|xtraores
stone_ordinary_with_planexium|xtraores
stone_ordinary_with_rarium|xtraores
stone_ordinary_with_sybilline|xtraores
stone_ordinary_with_tritonium|xtraores
stone_ordinary_with_unobtainium|xtraores
# (...but don't uncomment these)
#ore_xtraores_stone_ordinary_with_adamantite|xtraores
#ore_xtraores_stone_ordinary_with_geminitium|xtraores
#ore_xtraores_stone_ordinary_with_ozymandium|xtraores
#ore_xtraores_stone_ordinary_with_planexium|xtraores
#ore_xtraores_stone_ordinary_with_rarium|xtraores
#ore_xtraores_stone_ordinary_with_sybilline|xtraores
#ore_xtraores_stone_ordinary_with_tritonium|xtraores
#ore_xtraores_stone_ordinary_with_unobtainium|xtraores

# supporting packages (.depends)
metal_boron|unilib
mineral_bismuthinite|real_minerals

# supporting packages (.at_least_one)

# supporting packages (.optional)
#brick_ordinary|default
#bucket_steel|bucket
#container_chest_ordinary|default
#grass_dry|default
#grass_jungle|default
#grass_ordinary|default
#gravel_sandstone_ordinary|unilib
#item_screwdriver_ordinary|screwdriver
#liquid_oil_crude|unilib
#liquid_water_ordinary|default
#liquid_water_river|default
#machine_furnace_induction|unilib
#machine_polishing|unilib
#metal_iron_cast|technic_worldgen technic
#metal_steel_carbon|technic_worldgen technic
#mineral_flint|default fire mtg_plus
#mineral_limonite|real_minerals
#mineral_sulphur|technic_worldgen technic
#moss_green|sickles
#sand_beige|unilib
#sand_pink|unilib
#sand_red|unilib
#sand_silt|darkage
#soil_ordinary|farming
#stone_basalt_brown|material mineral
#stone_desert|default moreblocks
#stone_granite_salmon|underch compressed condensed
#stone_schist_grey|darkage
#stone_shale_brown|darkage

# supporting packages (.suggested)
